beam, SNR, DM, time, grade, itree
3, 30.5, 61, 100.02, 10, 0
4, 18.0, 3021, 99.86, 10, 1
4, 8.1, 3002, 99.39, 10, 4
6, 15.4, 3714, 99.83, 10, 2
6, 12.7, 3675, 100.40, 10, 4
6, 9.4, 3623, 100.15, 10, 5
7, 94.3, 388, 100.10, 10, 2
7, 73.6, 362, 100.41, 10, 4
7, 53.7, 311, 100.16, 10, 5
5, 11.1, 2381, 100.15, 10, 5
9, 86.6, 91, 100.10, 10, 2
10, 38.6, 26, 99.85, 10, 2
8, 9.3, 26, 100.03, 10, 3
11, 28.3, 52, 100.00, 10, 1
15, 19.0, 2847, 100.40, 10, 4
15, 16.6, 2795, 100.15, 10, 5
14, 54.9, 893, 100.09, 10, 2
14, 37.3, 880, 100.41, 10, 4
14, 25.9, 828, 100.16, 10, 5
