beam, SNR, DM, time, grade, itree
5, 25.7, 97, 100.00, 10, 1
1, 25.1, 97, 100.02, 10, 0
6, 25.3, 996, 100.00, 10, 1
14, 32.0, 983, 100.03, 10, 3
2, 24.2, 1000, 99.95, 10, 0
10, 16.0, 983, 100.03, 10, 3
6, 14.0, 983, 99.40, 10, 4
6, 10.2, 932, 100.16, 10, 5
14, 40.1, 932, 100.16, 10, 5
2, 7.6, 983, 99.40, 10, 4
10, 20.5, 932, 100.16, 10, 5
3, 15.6, 4995, 99.82, 10, 2
3, 7.4, 4969, 100.39, 10, 4
7, 23.4, 4995, 99.82, 10, 2
7, 14.2, 4969, 100.39, 10, 4
11, 18.1, 4969, 100.39, 10, 4
15, 38.5, 4969, 100.39, 10, 4
