beam, SNR, DM, time, grade, itree
1, 78.6, 52, 99.85, 10, 2
2, 19.5, 2743, 100.40, 10, 4
2, 14.9, 2691, 100.15, 10, 5
5, 42.1, 58, 100.00, 10, 1
7, 45.6, 2413, 99.99, 10, 1
7, 18.8, 2381, 100.40, 10, 4
7, 11.9, 2381, 100.15, 10, 5
4, 17.0, 113, 100.02, 10, 0
6, 13.2, 26, 100.03, 10, 3
8, 13.3, 867, 100.01, 10, 0
10, 26.8, 1734, 100.03, 10, 3
10, 24.6, 1708, 100.40, 10, 4
10, 18.6, 1656, 100.15, 10, 5
9, 55.6, 751, 100.03, 10, 3
9, 58.9, 725, 100.41, 10, 4
9, 49.2, 725, 100.16, 10, 5
11, 59.9, 58, 100.00, 10, 1
12, 73.6, 3403, 100.08, 10, 2
12, 48.2, 3364, 100.40, 10, 4
12, 33.3, 3312, 100.15, 10, 5
15, 102.2, 52, 99.40, 10, 4
13, 87.9, 3998, 100.08, 10, 2
13, 45.8, 3985, 99.39, 10, 4
13, 30.2, 3933, 100.15, 10, 5
