beam, SNR, DM, time, grade, itree
5, 23.1, 97, 100.00, 10, 1
1, 23.1, 97, 100.02, 10, 0
10, 15.7, 983, 100.03, 10, 3
14, 30.8, 983, 100.03, 10, 3
2, 23.6, 1000, 99.95, 10, 0
6, 23.3, 996, 100.00, 10, 1
10, 20.8, 932, 100.16, 10, 5
14, 40.2, 932, 100.16, 10, 5
6, 14.5, 983, 99.40, 10, 4
6, 9.2, 932, 100.16, 10, 5
3, 16.7, 4995, 99.82, 10, 2
3, 9.0, 4969, 100.39, 10, 4
7, 22.6, 4995, 99.82, 10, 2
7, 13.6, 4969, 100.39, 10, 4
11, 18.7, 4969, 100.39, 10, 4
15, 31.4, 4995, 100.01, 10, 3
15, 38.1, 4969, 100.39, 10, 4
