beam, SNR, DM, time, grade, itree
1, 24.6, 97, 100.02, 10, 0
2, 25.0, 1000, 99.95, 10, 0
2, 7.8, 983, 99.40, 10, 4
3, 17.2, 4995, 99.82, 10, 2
3, 9.4, 4969, 100.39, 10, 4
5, 23.0, 97, 100.00, 10, 1
7, 21.9, 4995, 99.82, 10, 2
7, 12.5, 4969, 100.39, 10, 4
6, 23.5, 996, 100.00, 10, 1
6, 12.8, 983, 99.40, 10, 4
6, 8.6, 932, 100.16, 10, 5
8, 7.2, 1291, 12.06, 10, 0
11, 20.7, 4969, 100.39, 10, 4
10, 14.8, 983, 100.03, 10, 3
10, 18.5, 932, 100.16, 10, 5
15, 7.0, 983, 34.66, 10, 2
15, 40.2, 4969, 100.39, 10, 4
14, 30.3, 983, 100.03, 10, 3
14, 38.6, 932, 100.16, 10, 5
